what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.aptana.editor.dtd,3.0.0.1311639141,"com.aptana.editor.dtd",1334586412338
stopped,bundle,com.aptana.editor.idl,3.0.0.1311639141,"com.aptana.editor.idl",1334586412338
stopped,bundle,com.aptana.editor.js,3.0.3.1319152794,"com.aptana.editor.js",1334586412339
stopped,bundle,com.aptana.editor.php.epl,3.0.0.1319152896,"com.aptana.editor.php.epl",1334586412339
stopped,bundle,com.aptana.editor.ruby,3.0.3.1319152922,"com.aptana.editor.ruby",1334586412339
stopped,bundle,com.aptana.ruby.ui,3.0.2.1316214156,"com.aptana.ruby.ui",1334586412340
stopped,bundle,com.aptana.samples.ui,3.0.0.1312506222,"com.aptana.samples.ui",1334586412340
stopped,bundle,com.aptana.projects,3.0.0.1316213431,"com.aptana.projects",1334586412341
stopped,bundle,com.aptana.syncing.ui,3.0.3.1314828554,"com.aptana.syncing.ui",1334586412341
stopped,bundle,com.aptana.ui.secureftp,3.0.0.1308874042,"com.aptana.ui.secureftp",1334586412341
stopped,bundle,com.aptana.ui.ftp,3.0.0.1310755723,"com.aptana.ui.ftp",1334586412342
stopped,bundle,com.aptana.ui.s3,3.0.0.1304723165,"com.aptana.ui.s3",1334586412342
stopped,bundle,com.aptana.ui.io,3.0.0.1316802113,"com.aptana.ui.io",1334586412342
stopped,bundle,com.aptana.editor.text,3.0.0.1311639141,"com.aptana.editor.text",1334586412343
stopped,bundle,com.aptana.editor.yaml,3.0.0.1319152794,"com.aptana.editor.yaml",1334586412343
stopped,bundle,com.aptana.preview,3.0.0.1309394487,"com.aptana.preview",1334586412343
stopped,bundle,org.python.pydev.red_core,2.2.2.2011100512,"org.python.pydev.red_core",1334586412343
stopped,bundle,com.aptana.editor.common,3.0.3.1319164560,"com.aptana.editor.common",1334586412344
stopped,bundle,com.aptana.scripting.ui,3.0.0.1311950158,"com.aptana.scripting.ui",1334586412344
stopped,bundle,com.aptana.git.ui,3.0.3.1316207015,"com.aptana.git.ui",1334586412344
stopped,bundle,com.aptana.terminal,3.0.0.1310755723,"com.aptana.terminal",1334586412344
stopped,bundle,com.aptana.console,3.0.0.1311641900,"com.aptana.console",1334586412345
stopped,bundle,com.aptana.formatter.epl,3.0.0.1314045086,"com.aptana.formatter.epl",1334586412345
stopped,bundle,com.aptana.index.core.ui,3.0.0.1311981533,"com.aptana.index.core.ui",1334586412345
stopped,bundle,com.aptana.theme,3.0.0.1314215021,"com.aptana.theme",1334586412345
stopped,bundle,com.aptana.scripting,3.0.0.1319572975,"com.aptana.scripting",1334586412780
stopped,bundle,com.aptana.debug.ui,3.0.3.1311124046,"com.aptana.debug.ui",1334586412780
stopped,bundle,com.aptana.editor.findbar,3.0.0.1310755723,"com.aptana.editor.findbar",1334586412781
stopped,bundle,com.aptana.webserver.ui,3.0.0.1310755723,"com.aptana.webserver.ui",1334586412781
stopped,bundle,com.aptana.ui,3.0.3.1314215016,"com.aptana.ui",1334586412781
stopped,bundle,com.aptana.buildpath.core,3.0.0.1312481020,"com.aptana.buildpath.core",1334586412782
stopped,bundle,com.aptana.commandline.launcher,3.0.3.1312062042,"com.aptana.commandline.launcher",1334586412783
